doi,title,year,cluster,topic_label
10.1002/pol.20190261,Advances and approaches for chemical recycling of plastic waste,2020,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1126/science.abc5441,Polyethylene upcycling to long-chain alkylaromatics by tandem hydrogenolysis/aromatization,2020,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/macp.201200439,Green Polymer Chemistry and Bio‐based Plastics: Dreams and Reality,2012,7,"marine debris, metric tons, human health, u s"
10.1016/j.wasman.2020.12.020,Plastic recycling in a circular economy; determining environmental performance through an LCA matrix model approach,2021,7,"marine debris, metric tons, human health, u s"
10.1021/acscatal.2c01286,Rational Design of Chemical Catalysis for Plastic Recycling,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.3390/su151410821,Microplastics as an Emerging Threat to the Global Environment and Human Health,2023,7,"marine debris, metric tons, human health, u s"
10.1126/science.254.5029.231,Reactivity of Organic Compounds in Hot Water: Geochemical and Technological Implications,1991,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1039/c8py01284a,Organocatalysis for depolymerisation,2018,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acsapm.1c00648,Why is Recycling of Postconsumer Plastics so Challenging?,2021,7,"marine debris, metric tons, human health, u s"
10.1108/13552541311302978,Distributed recycling of waste polymer into RepRap feedstock,2013,6,"supply chain, climate change, environmental impacts, value chain"
10.1016/j.ymben.2021.03.011,Towards bio-upcycling of polyethylene terephthalate,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/ie990512q,Catalytic Degradation of High-Density Polyethylene over Different Zeolitic Structures,2000,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acscatal.1c00874,Polypropylene Plastic Waste Conversion to Lubricants over Ru/TiO<sub>2</sub> Catalysts,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/pen.760301109,Composites from compounding wood fibers with recycled high density polyethylene,1990,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1117/12.777776,"Overview of SWIR detectors, cameras, and applications",2008,6,"supply chain, climate change, environmental impacts, value chain"
10.1111/jiec.12822,Quality Assessment and Circularity Potential of Recovery Systems for Household Plastic Waste,2018,6,"supply chain, climate change, environmental impacts, value chain"
10.3390/su12052088,Effect of Bio-Based Products on Waste Management,2020,7,"marine debris, metric tons, human health, u s"
10.3390/su10051487,Impact of Bio-Based Plastics on Current Recycling of Plastics,2018,7,"marine debris, metric tons, human health, u s"
10.1111/1751-7915.12312,Plastic waste as a novel substrate for industrial biotechnology,2015,7,"marine debris, metric tons, human health, u s"
10.3390/ma12101642,Mechanical Properties and Applications of Recycled Polycarbonate Particle Material Extrusion-Based Additive Manufacturing,2019,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1177/0022242919842167,Knowing What It Makes: How Product Transformation Salience Increases Recycling,2019,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1093/reep/rez012,"Marine Plastic Pollution: Sources, Impacts, and Policy Issues",2019,7,"marine debris, metric tons, human health, u s"
10.1021/acs.chemmater.0c02008,Sustainable Materials and Chemical Processes for Additive Manufacturing,2020,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.pecs.2022.101046,Challenges and opportunities of light olefin production via thermal and catalytic pyrolysis of end-of-life polyolefins: Towards full recyclability,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.resconrec.2022.106219,Consumers’ sustainability-related perception of and willingness-to-pay for food packaging alternatives,2022,5,"sustainable development, environmental awareness, climate change, purchase intention"
10.1021/acsami.0c16489,Waste Plastic Triboelectric Nanogenerators Using Recycled Plastic Bags for Power Generation,2020,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.aiepr.2021.06.003,Recycling of medical plastics,2021,7,"marine debris, metric tons, human health, u s"
10.1016/j.rser.2012.02.064,Future perspectives on sustainable tribology,2012,6,"supply chain, climate change, environmental impacts, value chain"
10.1061/(asce)cc.1943-5614.0000386,Cyclic Compressive Behavior of Concrete Confined with Large Rupture Strain FRP Composites,2013,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1021/acscatal.2c02275,Multiple Substrate Binding Mode-Guided Engineering of a Thermophilic PET Hydrolase,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acssuschemeng.8b00750,"Exploring Comparative Energy and Environmental Benefits of Virgin, Recycled, and Bio-Derived PET Bottles",2018,7,"marine debris, metric tons, human health, u s"
10.1002/jctb.2323,Supercritical water for environmental technologies,2010,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1177/0008125617752695,Disruptive Technology as an Enabler of the Circular Economy: What Potential Does 3D Printing Hold?,2018,6,"supply chain, climate change, environmental impacts, value chain"
10.1177/0734242x09345868,Recycling of plastic: accounting of greenhouse gases and global warming contributions,2009,6,"supply chain, climate change, environmental impacts, value chain"
10.1111/1751-7915.13328,"Plastic waste management, a matter for the ‘community’",2018,7,"marine debris, metric tons, human health, u s"
10.1038/s41467-024-45662-9,Computational redesign of a hydrolase for nearly complete PET depolymerization at industrially relevant high-solids loading,2024,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/bm990007c,Lipase-Catalyzed Degradation of Polyesters in Organic Solvents. A New Methodology of Polymer Recycling Using Enzyme as Catalyst,2000,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1177/0036850419867204,"Solving the plastic problem: From cradle to grave, to reincarnation",2019,7,"marine debris, metric tons, human health, u s"
10.1089/3dp.2019.0195,Mechanical Properties of Direct Waste Printing of Polylactic Acid with Universal Pellets Extruder: Comparison to Fused Filament Fabrication on Open-Source Desktop Three-Dimensional Printers,2020,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1016/j.egypro.2018.11.160,Employment the plastic waste to produce the light weight concrete,2019,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.1021/acsnano.0c02878,Direct Observation of the Release of Nanoplastics from Commercially Recycled Plastics with Correlative Raman Imaging and Scanning Electron Microscopy,2020,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acssuschemeng.4c02551,Plastic Waste Recycling─A Chemical Recycling Perspective,2024,7,"marine debris, metric tons, human health, u s"
10.1002/1616-5195(20020401)2:3<105::aid-mabi105>3.0.co;2-k,Enzyme-Catalyzed Synthesis and Chemical Recycling of Polyesters,2002,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/jctb.1757,Catalytic conversion of waste plastics: focus on waste PVC,2007,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/anie.202211806,Closed‐Loop Recycling of Poly(Imine‐Carbonate) Derived from Plastic Waste and Bio‐based Resources,2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1002/pi.6555,Bioplastic: an eco‐friendly alternative to non‐biodegradable plastic,2023,7,"marine debris, metric tons, human health, u s"
10.1016/j.hazadv.2023.100309,The potential for a plastic recycling facility to release microplastic pollution and possible filtration remediation effectiveness,2023,7,"marine debris, metric tons, human health, u s"
10.3390/polym14081583,"Forecasting the Mechanical Properties of Plastic Concrete Employing Experimental Data Using Machine Learning Algorithms: DT, MLPNN, SVM, and RF",2022,4,"compressive strength, mechanical properties, flexural strength, tensile strength"
10.3390/ma12172740,Miniaturized Near-Infrared (MicroNIR) Spectrometer in Plastic Waste Sorting,2019,3,"mechanical properties, tensile strength, polypropylene pp, injection molding"
10.1021/jacs.1c05330,Depolymerization of Hydroxylated Polymers via Light-Driven C–C Bond Cleavage,2021,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/es404646e,Nanosized Carbon Black Combined with Ni<sub>2</sub>O<sub>3</sub> as “Universal” Catalysts for Synergistically Catalyzing Carbonization of Polyolefin Wastes to Synthesize Carbon Nanotubes and Application for Supercapacitors,2014,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1021/acssuschemeng.2c01708,"Selective, Sequential, and “One-Pot” Depolymerization Strategies for Chemical Recycling of Commercial Plastics and Mixed Plastics",2022,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1016/j.resconrec.2023.106916,How much can chemical recycling contribute to plastic waste recycling in Europe? An assessment using material flow analysis modeling,2023,7,"marine debris, metric tons, human health, u s"
10.3390/recycling7020011,Assessment of Performance and Challenges in Use of Commercial Automated Sorting Technology for Plastic Waste,2022,7,"marine debris, metric tons, human health, u s"
10.1016/j.envint.2020.105559,Toxicity evaluation of E-waste plastics and potential repercussions for human health,2020,7,"marine debris, metric tons, human health, u s"
10.1021/acsengineeringau.2c00029,Chemical Recycling of Used PET by Glycolysis Using Niobia-Based Catalysts,2023,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
10.1186/s12302-020-00390-x,Pyrolysis kinetic modelling of abundant plastic waste (PET) and in-situ emission monitoring,2020,2,"polyethylene terephthalate pet, supporting information, molecular weight, pyrolysis oil"
