cluster_a,cluster_b,label_a,label_b,model_key,model_label,term_a,term_b,confidence,reasoning,n_alignable,barrier_assessment
2,3,polyethylene terephthalate pet,mechanical properties,gpt4o,GPT-4o,calorific value,scanning calorimetry,3,"Both terms relate to the measurement of energy content, though in different contexts: calorific value in energy content of fuels and scanning calorimetry in thermal analysis.",3,"The vocabulary barrier is moderate, with some overlap in concepts related to energy and material properties, but distinct differences in process and application terminology."
2,3,polyethylene terephthalate pet,mechanical properties,gpt4o,GPT-4o,molecular weight,mechanical properties,2,"Molecular weight can influence mechanical properties, as it affects polymer chain length and entanglement, impacting strength and flexibility.",3,"The vocabulary barrier is moderate, with some overlap in concepts related to energy and material properties, but distinct differences in process and application terminology."
2,3,polyethylene terephthalate pet,mechanical properties,gpt4o,GPT-4o,pyrolysis process,injection molding,1,"Both are processes used in the treatment and formation of plastics, though they serve different purposes: pyrolysis for decomposition and injection molding for shaping.",3,"The vocabulary barrier is moderate, with some overlap in concepts related to energy and material properties, but distinct differences in process and application terminology."
2,3,polyethylene terephthalate pet,mechanical properties,claude_haiku,Claude Haiku,molecular weight,differential scanning calorimetry,2,Both are analytical characterization techniques used to assess polymer properties; molecular weight determination and thermal analysis via DSC both inform material degradation and processing behavior,4,"Severe vocabulary barrier exists: Cluster A focuses on chemical recycling (pyrolysis, thermochemical conversion) while Cluster B emphasizes mechanical recycling (processing, reinforcement, performance); these represent fundamentally different recycling paradigms with minimal conceptual overlap beyond general polymer characterization techniques."
2,3,polyethylene terephthalate pet,mechanical properties,claude_haiku,Claude Haiku,pyrolysis process,injection molding,2,"Both represent thermal processing methods for polymers; pyrolysis is thermal decomposition for chemical recycling while injection molding is thermal processing for mechanical recycling, both requiring temperature control",4,"Severe vocabulary barrier exists: Cluster A focuses on chemical recycling (pyrolysis, thermochemical conversion) while Cluster B emphasizes mechanical recycling (processing, reinforcement, performance); these represent fundamentally different recycling paradigms with minimal conceptual overlap beyond general polymer characterization techniques."
2,3,polyethylene terephthalate pet,mechanical properties,claude_haiku,Claude Haiku,activation energy,tensile strength,1,"Weak analogy: activation energy describes reaction kinetics in pyrolysis, while tensile strength measures mechanical performance; both relate to material behavior but in fundamentally different domains (chemical vs. mechanical)",4,"Severe vocabulary barrier exists: Cluster A focuses on chemical recycling (pyrolysis, thermochemical conversion) while Cluster B emphasizes mechanical recycling (processing, reinforcement, performance); these represent fundamentally different recycling paradigms with minimal conceptual overlap beyond general polymer characterization techniques."
2,3,polyethylene terephthalate pet,mechanical properties,claude_haiku,Claude Haiku,calorific value,differential scanning calorimetry,3,"Functional equivalents in different contexts: calorific value measures energy content of pyrolysis products, while DSC measures thermal properties; both use calorimetric principles to characterize material energetics",4,"Severe vocabulary barrier exists: Cluster A focuses on chemical recycling (pyrolysis, thermochemical conversion) while Cluster B emphasizes mechanical recycling (processing, reinforcement, performance); these represent fundamentally different recycling paradigms with minimal conceptual overlap beyond general polymer characterization techniques."
2,3,polyethylene terephthalate pet,mechanical properties,claude_haiku,Claude Haiku,liquid fuel,elongation break,1,"Minimal connection: liquid fuel is a pyrolysis product output, while elongation at break is a mechanical property measurement; they represent different recycling pathway outcomes",4,"Severe vocabulary barrier exists: Cluster A focuses on chemical recycling (pyrolysis, thermochemical conversion) while Cluster B emphasizes mechanical recycling (processing, reinforcement, performance); these represent fundamentally different recycling paradigms with minimal conceptual overlap beyond general polymer characterization techniques."
2,3,polyethylene terephthalate pet,mechanical properties,claude_haiku,Claude Haiku,mass spectrometry,scanning calorimetry,3,Functional equivalents as analytical instruments: both are complementary characterization techniques used to identify and quantify material composition and thermal behavior in polymer analysis,4,"Severe vocabulary barrier exists: Cluster A focuses on chemical recycling (pyrolysis, thermochemical conversion) while Cluster B emphasizes mechanical recycling (processing, reinforcement, performance); these represent fundamentally different recycling paradigms with minimal conceptual overlap beyond general polymer characterization techniques."
2,3,polyethylene terephthalate pet,mechanical properties,claude_haiku,Claude Haiku,catalytic pyrolysis,maleic anhydride,2,"Partial overlap: catalytic pyrolysis uses catalysts to enhance decomposition, while maleic anhydride is a chemical additive/coupling agent; both represent chemical modification strategies in polymer recycling",4,"Severe vocabulary barrier exists: Cluster A focuses on chemical recycling (pyrolysis, thermochemical conversion) while Cluster B emphasizes mechanical recycling (processing, reinforcement, performance); these represent fundamentally different recycling paradigms with minimal conceptual overlap beyond general polymer characterization techniques."
2,3,polyethylene terephthalate pet,mechanical properties,claude_haiku,Claude Haiku,pyrolysis oil,mechanical properties,1,"Weak analogy: pyrolysis oil is a chemical recycling product, while mechanical properties describe material performance; they represent different endpoints in recycling pathways",4,"Severe vocabulary barrier exists: Cluster A focuses on chemical recycling (pyrolysis, thermochemical conversion) while Cluster B emphasizes mechanical recycling (processing, reinforcement, performance); these represent fundamentally different recycling paradigms with minimal conceptual overlap beyond general polymer characterization techniques."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,molecular weight,elongation break,3,"Both terms relate to polymer properties, with molecular weight describing the size of polymer chains and elongation break describing the point at which a material fails under tensile stress, which can be influenced by molecular weight.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,calorific value,differential scanning calorimetry,3,"Calorific value refers to the energy content of a material, while differential scanning calorimetry is a technique used to measure the energy absorbed or released by a material as it is heated or cooled, which can be related to its calorific value.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,pyrolysis process,injection molding,2,"Both terms relate to processing techniques, with pyrolysis being a thermal decomposition process and injection molding being a manufacturing process, but they are not directly equivalent.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,activation energy,maleic anhydride,2,"Activation energy is a concept related to the energy required for a chemical reaction to occur, while maleic anhydride is a chemical used in some polymer reactions, but they are not directly equivalent.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,mass spectrometry,scanning calorimetry,2,"Both terms relate to analytical techniques, but mass spectrometry is used to identify the composition of a material, while scanning calorimetry is used to measure thermal properties.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,liquid fuel,wood flour,1,"Liquid fuel is a product of pyrolysis, while wood flour is a filler material used in some polymer composites, but they are not directly related.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,catalytic pyrolysis,impact strength,1,"Catalytic pyrolysis is a process used to convert plastics into fuels, while impact strength is a measure of a material's resistance to impact, but they are not directly related.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,pyrolysis oil,tensile strength,1,"Pyrolysis oil is a product of pyrolysis, while tensile strength is a measure of a material's resistance to tensile stress, but they are not directly related.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,polyethylene terephthalate pet,polypropylene pp,4,"Both terms refer to specific types of plastics, with polyethylene terephthalate (PET) and polypropylene (PP) being two common types of plastics.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,3,polyethylene terephthalate pet,mechanical properties,llama_70b,Llama-3.1-70B,supporting information,mechanical properties,1,"Supporting information is a general term, while mechanical properties is a specific term related to the properties of materials, but they are not directly related.",7,"The vocabulary barrier between these clusters is moderate, with some terms having clear equivalents or near-equivalents, but others being more loosely related or unrelated."
2,4,polyethylene terephthalate pet,compressive strength,gpt4o,GPT-4o,molecular weight,mechanical properties,2,"Both terms relate to the fundamental characteristics that influence the behavior of materials, though they focus on different aspects (chemical vs. mechanical).",3,"The vocabulary barrier is significant, as the clusters focus on different material properties and processes, with limited overlap in terminology."
2,4,polyethylene terephthalate pet,compressive strength,gpt4o,GPT-4o,pyrolysis process,properties concrete,1,"Both terms describe processes that alter material properties, but they apply to different materials and outcomes.",3,"The vocabulary barrier is significant, as the clusters focus on different material properties and processes, with limited overlap in terminology."
2,4,polyethylene terephthalate pet,compressive strength,gpt4o,GPT-4o,calorific value,compressive strength,1,"Both terms measure a form of 'capacity' or 'potential' of a material, though in different contexts (energy vs. structural integrity).",3,"The vocabulary barrier is significant, as the clusters focus on different material properties and processes, with limited overlap in terminology."
2,4,polyethylene terephthalate pet,compressive strength,claude_haiku,Claude Haiku,molecular weight,mechanical properties,2,Both are fundamental material characterization parameters. Molecular weight determines polymer chain structure and affects mechanical properties; they are causally related but measure different aspects of material behavior.,1,"The vocabulary barrier is severe and nearly insurmountable: Cluster A focuses on chemical decomposition and fuel production from PET waste, while Cluster B addresses structural material properties of concrete composites; these represent fundamentally different recycling pathways (chemical vs. material reuse) with minimal conceptual intersection."
2,4,polyethylene terephthalate pet,compressive strength,claude_haiku,Claude Haiku,pyrolysis process,properties concrete,1,"Both refer to material transformation/characterization, but pyrolysis is a chemical decomposition process while concrete properties describe end-state material characteristics. Weak analogy only.",1,"The vocabulary barrier is severe and nearly insurmountable: Cluster A focuses on chemical decomposition and fuel production from PET waste, while Cluster B addresses structural material properties of concrete composites; these represent fundamentally different recycling pathways (chemical vs. material reuse) with minimal conceptual intersection."
